arrival_time,prefill_length,decode_length
0.2346,51,43
1.7397,64,24
2.3981,93,43
2.8545,255,148
2.9394,51,22
3.0241,82,39
3.0541,62,42
4.0597,84,33
4.5192,87,28
5.1349,250,135
5.1453,71,28
6.897,98,30
7.7902,74,23
7.9096,72,39
8.0099,52,43
8.1112,57,49
8.2926,85,29
8.6646,289,141
8.9473,95,22
9.1195,64,44
9.5926,55,47
9.6678,56,32
9.8405,90,46
10.0687,73,31
10.3731,67,42
11.1421,291,132
11.2535,60,37
11.6145,60,34
12.0632,90,42
12.087,93,30
12.5547,299,131
12.6482,52,45
12.6818,67,22
14.1686,86,48
15.8539,63,40
16.6801,91,34
16.8618,58,27
16.9131,84,28
17.4895,77,48
17.7796,73,27
17.8446,258,146
18.1864,98,21
18.2039,259,150
19.4041,93,33
19.5538,74,32
20.097,79,36
20.2838,85,47
20.6508,293,133
21.0464,84,44
21.1486,91,30
22.895,77,25
23.6411,96,48
25.0437,82,44
26.1698,56,47
26.6253,90,36
27.9,59,31
27.9463,84,50
28.0554,83,49
28.0785,70,35
28.2753,73,48
28.5214,269,137
28.6797,86,50
29.5619,96,35
29.7825,298,147
29.9474,58,41
30.3387,85,25
30.4146,88,33
31.2248,284,136
31.2636,75,41
33.4307,78,48
34.1704,57,27
34.2812,71,20
34.2839,64,38
35.1289,54,42
35.7424,64,22
36.3953,271,132
37.1329,67,41
37.1713,84,24
37.3933,86,38
37.4549,100,35
38.4491,262,133
38.9373,77,31
39.1382,79,47
39.171,93,40
39.3573,256,131
39.5539,71,45
40.2079,265,136
40.7153,78,24
41.8064,67,34
42.126,54,34
42.1896,285,133
42.8142,84,46
43.5294,55,49
43.9413,65,25
44.6783,80,26
45.0187,253,135
45.3885,74,28
45.6674,300,144
45.6803,94,50
45.7374,100,37
