arrival_time,prefill_length,decode_length
0.4693,20,20
2.8043,10,10
3.4794,20,20
4.6446,10,10
4.7961,20,20
5.17,10,10
5.2813,10,10
5.7091,20,20
5.8514,10,10
5.8787,20,20
5.8888,10,10
5.9044,10,10
6.0483,20,20
6.0534,10,10
6.1081,20,20
6.3639,10,10
7.3774,10,10
8.0269,10,10
8.1194,20,20
8.7057,10,10
8.9828,10,10
9.0385,20,20
9.1951,10,10
9.4269,10,10
10.2697,20,20
10.2905,20,20
11.6239,10,10
11.6444,10,10
12.6532,10,10
13.0854,10,10
13.3741,10,10
13.7941,20,20
14.02,10,10
14.3534,10,10
15.3869,10,10
15.5805,20,20
15.8192,20,20
16.0199,20,20
16.2225,20,20
16.5417,10,10
16.5852,20,20
16.8156,10,10
16.9776,10,10
17.3291,20,20
17.4263,10,10
17.8947,20,20
18.2389,20,20
18.6436,10,10
18.7618,10,10
19.1853,20,20
19.2496,10,10
19.3355,20,20
19.681,20,20
19.7488,10,10
20.1373,20,20
20.4093,10,10
20.4798,10,10
20.7462,20,20
21.1089,10,10
22.2842,20,20
22.3075,10,10
22.4065,10,10
22.5069,20,20
22.5421,10,10
23.2289,20,20
24.1264,20,20
24.174,20,20
24.3192,10,10
24.419,10,10
25.1093,20,20
25.2963,20,20
25.3636,20,20
25.3824,10,10
25.7214,10,10
25.8634,10,10
26.8864,10,10
27.181,10,10
27.5426,10,10
27.7652,10,10
28.2146,10,10
28.3039,10,10
28.3373,20,20
28.5519,10,10
30.2955,10,10
30.4448,10,10
30.9794,10,10
31.1761,10,10
31.7079,20,20
31.9185,10,10
31.9887,10,10
33.3602,20,20
33.7235,20,20
33.739,10,10
33.8263,20,20
34.0413,10,10
34.176,10,10
34.2141,10,10
34.3071,10,10
34.6739,10,10
34.8794,10,10
34.979,20,20
35.5591,20,20
35.6893,20,20
35.7621,10,10
36.0439,10,10
36.1869,10,10
36.3728,20,20
36.4078,20,20
36.667,10,10
37.2804,10,10
37.3718,10,10
37.4635,10,10
37.4822,10,10
38.1488,10,10
38.6939,10,10
38.8082,20,20
39.0157,10,10
39.1077,20,20
39.9452,10,10
40.194,20,20
40.5675,20,20
40.7643,10,10
41.2045,10,10
41.3016,20,20
42.0928,20,20
42.218,10,10
42.2972,20,20
42.3332,10,10
42.3925,10,10
42.5497,10,10
42.5791,10,10
42.9579,10,10
44.3371,10,10
44.3571,10,10
44.4223,10,10
44.7232,10,10
45.79,20,20
46.0813,10,10
46.2713,10,10
46.6252,10,10
46.6464,10,10
46.7267,10,10
47.2823,20,20
48.884,10,10
50.0874,20,20
50.562,10,10
50.5644,10,10
52.0807,10,10
52.3395,20,20
52.5904,10,10
53.2506,20,20
53.6025,10,10
53.9058,10,10
54.2682,10,10
54.6037,10,10
55.1533,10,10
55.2285,10,10
55.2438,10,10
55.4278,10,10
55.8,20,20
55.8927,20,20
56.0376,10,10
56.1108,20,20
56.1504,10,10
56.1571,20,20
56.5506,20,20
56.7099,10,10
57.0427,20,20
57.3593,20,20
58.4617,10,10
58.511,10,10
59.0693,10,10
59.1239,20,20
59.3626,10,10
59.5651,20,20
59.8949,20,20
60.3756,10,10
60.4731,10,10
60.6773,20,20
60.8292,20,20
61.063,10,10
61.9734,10,10
62.4497,20,20
62.5272,20,20
63.4201,10,10
63.9949,10,10
64.3387,10,10
64.8196,10,10
65.8356,10,10
66.2583,10,10
66.2737,10,10
66.8613,20,20
67.6101,10,10
68.195,10,10
68.3408,20,20
68.5623,20,20
68.5679,20,20
68.7593,10,10
68.8807,10,10
69.4185,10,10
69.6688,10,10
70.1955,10,10
70.2519,10,10
70.2578,20,20
70.7881,10,10
71.4849,20,20
72.7905,20,20
74.2657,20,20
74.3427,20,20
74.509,10,10
74.5337,10,10
74.7866,20,20
74.9097,20,20
76.4236,10,10
76.6848,10,10
76.8982,20,20
77.7078,10,10
77.8745,20,20
78.2764,20,20
78.342,20,20
78.4703,10,10
78.7145,20,20
78.8889,10,10
79.1078,20,20
79.5594,10,10
80.4157,20,20
80.6134,10,10
80.8723,10,10
81.0703,10,10
81.4306,20,20
81.621,10,10
82.4457,10,10
83.1641,10,10
83.6128,20,20
83.9634,10,10
84.2494,10,10
84.2519,20,20
84.3793,20,20
85.1008,10,10
85.1648,10,10
85.558,10,10
85.5609,10,10
85.6284,20,20
85.7571,10,10
85.9853,10,10
86.2375,10,10
86.832,10,10
87.0588,20,20
87.078,10,10
87.3757,10,10
87.5113,10,10
87.7449,10,10
87.8738,10,10
87.8827,20,20
87.9118,10,10
88.3743,10,10
88.926,10,10
89.3566,20,20
89.4091,10,10
89.7204,10,10
89.9593,10,10
90.0374,20,20
90.7771,20,20
90.9544,10,10
91.3204,10,10
91.3349,20,20
91.3606,20,20
91.4748,20,20
91.5067,20,20
91.6466,10,10
91.6596,10,10
91.8683,10,10
92.1074,10,10
92.3619,10,10
92.5185,20,20
92.7958,10,10
92.8959,20,20
93.1772,10,10
93.6063,20,20
93.6453,10,10
94.3691,10,10
95.2074,10,10
95.8406,10,10
95.9876,20,20
96.2743,20,20
96.8026,20,20
97.397,10,10
97.4062,10,10
97.5151,10,10
97.5189,10,10
98.0402,10,10
98.2113,20,20
98.4711,20,20
98.5512,20,20
98.8934,20,20
99.0692,20,20
99.1818,10,10
99.3213,10,10
100.6302,10,10
100.6612,10,10
101.7241,20,20
102.0236,10,10
102.2403,10,10
102.2937,10,10
102.6264,10,10
102.7747,10,10
102.9424,10,10
103.126,10,10
103.375,20,20
103.9383,10,10
104.3257,10,10
104.3785,20,20
104.5121,10,10
104.9834,10,10
105.613,10,10
105.7722,10,10
106.039,10,10
106.104,10,10
106.2039,10,10
106.43,20,20
106.7754,10,10
106.8755,10,10
107.2479,10,10
107.8652,10,10
107.9217,10,10
108.058,20,20
108.2645,20,20
108.3406,10,10
108.4888,10,10
110.1362,10,10
110.4666,10,10
110.4953,20,20
111.2704,20,20
111.2866,10,10
111.6861,10,10
111.7083,10,10
112.2097,10,10
112.9178,20,20
113.7218,10,10
114.1819,10,10
115.0371,10,10
115.182,20,20
115.5647,20,20
115.6813,20,20
115.94,20,20
116.115,10,10
116.2445,10,10
116.3636,10,10
116.4971,20,20
116.8357,10,10
117.1004,10,10
118.0163,10,10
118.2009,20,20
119.1677,10,10
119.3857,10,10
119.5209,10,10
120.1723,20,20
120.1792,20,20
120.2791,10,10
120.4398,10,10
120.8941,20,20
121.3045,10,10
121.4344,20,20
121.5801,10,10
121.6855,20,20
121.8132,20,20
122.1307,10,10
122.1809,10,10
122.2251,20,20
122.6698,10,10
122.9703,10,10
123.412,10,10
123.504,10,10
124.1716,10,10
125.0883,20,20
125.1647,10,10
125.2868,10,10
125.3372,10,10
125.3491,10,10
125.4786,20,20
125.8627,10,10
126.2101,20,20
126.3298,10,10
126.7254,10,10
126.8573,10,10
127.1052,10,10
127.4242,20,20
127.5565,10,10
127.8762,20,20
127.8999,10,10
130.1024,10,10
130.1758,10,10
130.7697,10,10
131.0287,10,10
131.3082,10,10
131.444,20,20
131.9404,10,10
132.53,10,10
134.726,20,20
134.8997,10,10
134.9684,10,10
135.016,20,20
135.0234,10,10
135.6676,10,10
135.7037,20,20
136.0616,20,20
136.0995,10,10
136.2597,10,10
136.3011,10,10
136.3458,10,10
136.3969,20,20
136.4345,20,20
137.3749,20,20
137.4689,10,10
137.5754,10,10
137.7707,10,10
137.8992,10,10
138.0735,20,20
138.1185,10,10
138.1263,20,20
138.1545,10,10
138.4529,20,20
138.5205,10,10
138.5555,10,10
139.3611,10,10
139.4942,10,10
139.8825,10,10
140.8418,20,20
140.9429,10,10
141.1157,20,20
141.2722,20,20
141.4691,10,10
141.8498,10,10
141.9445,20,20
142.0458,10,10
142.2483,10,10
142.8018,10,10
145.3716,10,10
145.9137,10,10
146.1885,20,20
146.3217,10,10
146.4656,20,20
146.9775,10,10
147.2905,10,10
147.3215,10,10
147.5808,20,20
147.7346,10,10
149.0147,20,20
149.286,20,20
149.3152,10,10
149.4116,10,10
149.9972,10,10
150.1093,10,10
150.4931,10,10
150.5439,10,10
150.5888,20,20
150.8432,10,10
151.0473,20,20
151.5488,10,10
151.7623,10,10
152.0478,20,20
152.309,10,10
153.0516,20,20
153.1025,10,10
153.819,20,20
153.9136,20,20
154.4123,10,10
154.5461,10,10
154.8009,10,10
154.8836,10,10
155.7173,20,20
156.1041,20,20
156.3105,20,20
156.3522,20,20
157.2459,20,20
157.3289,10,10
158.3778,20,20
158.3945,20,20
158.6376,10,10
159.0258,10,10
159.1122,20,20
159.369,20,20
159.9485,10,10
160.3164,10,10
160.4051,20,20
160.5967,20,20
160.805,10,10
160.8517,10,10
161.5555,10,10
161.6238,10,10
161.7709,20,20
162.2599,20,20
162.4983,10,10
163.26,10,10
163.8768,10,10
163.8952,10,10
164.0758,10,10
164.2284,10,10
164.4517,10,10
164.4976,10,10
165.0202,20,20
165.1682,20,20
165.5853,20,20
165.7057,20,20
165.8795,10,10
166.283,10,10
166.4653,10,10
166.7182,10,10
167.0146,10,10
167.4735,10,10
167.836,10,10
168.2919,20,20
169.0951,10,10
169.4386,10,10
170.3903,20,20
170.6886,20,20
171.7674,20,20
171.8628,10,10
172.8161,10,10
172.933,10,10
173.4668,20,20
174.2669,10,10
174.277,20,20
174.3288,10,10
175.0313,20,20
175.1791,10,10
175.3081,20,20
175.4059,20,20
175.4187,10,10
176.4704,10,10
177.4831,10,10
177.681,20,20
178.3029,10,10
179.0833,10,10
179.265,10,10
179.3071,10,10
179.565,10,10
179.6603,10,10
179.9878,20,20
180.254,10,10
180.4664,10,10
180.9904,20,20
181.4045,20,20
181.834,20,20
182.3232,10,10
182.8354,10,10
183.1285,20,20
183.6997,10,10
183.7708,10,10
184.7611,10,10
185.4026,20,20
186.0415,10,10
186.3753,10,10
186.8413,10,10
187.565,10,10
187.5837,20,20
187.6611,10,10
188.0102,10,10
188.2645,10,10
188.3436,10,10
188.5727,10,10
